"Continent","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EU","Portugal","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,10,,
"EU","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,9.9,,
"EU","Spain","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,23.1,,
"EU","Sweden","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,3.2,,
"EU","Turkey","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,12.5,,
"EU","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.5,,
"NA","United States","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,7.7,,
"SA","Chile","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,8.7,,
"EU","Estonia","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,3.8,,
"AS","Israel","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.2,,
"EU","Latvia","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,9.6,,
"EU","Slovenia","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,5.8,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,7,,
"OC","Australia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,5.9,,
"EU","Austria","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.2,,
"EU","Belgium","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.7,,
"NA","Canada","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,6.7,,
"EU","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,2.8,,
"EU","Denmark","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.3,,
"EU","Finland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"EU","France","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,8.1,,
"EU","Germany","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"EU","Greece","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,23.7,,
"EU","Hungary","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.7,,
"EU","Iceland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,0.7,,
"EU","Ireland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,10.5,,
"EU","Italy","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,12.1,,
"AS","Japan","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,2.4,,
"AS","Korea","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,3.1,,
"EU","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,1.4,,
"NA","Mexico","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,5.5,,
"EU","Netherlands","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"EU","Poland","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,6,,
"EU","Portugal","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,10.2,,
"EU","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,8.4,,
"EU","Spain","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,21.1,,
"EU","Sweden","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,3.9,,
"EU","Turkey","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,10.2,,
"EU","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.9,,
"NA","United States","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,7.8,,
"SA","Chile","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,7,,
"EU","Estonia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,4.1,,
"EU","Latvia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,11.1,,
"EU","Slovenia","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,5,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","MN","Men","PC","Percentage","0","Units",,,7.2,,
"OC","Australia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5,,
"EU","Austria","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.7,,
"EU","Belgium","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.7,,
"NA","Canada","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.4,,
"EU","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,3.5,,
"EU","Denmark","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.1,,
"EU","Finland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.9,,
"EU","France","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,7,,
"EU","Germany","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.2,,
"EU","Greece","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,36,,
"EU","Hungary","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.6,,
"EU","Iceland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.7,,
"EU","Ireland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.2,,
"EU","Italy","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,12.5,,
"AS","Japan","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,0.3,,
"AS","Korea","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.1,,
"EU","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,1.9,,
"NA","Mexico","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.5,,
"EU","Netherlands","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.7,,
"EU","Poland","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,5.3,,
"EU","Portugal","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,9.7,,
"EU","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,11.4,,
"EU","Spain","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,25,,
"EU","Sweden","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,2.4,,
"EU","Turkey","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,14.9,,
"EU","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,4.2,,
"NA","United States","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,7.6,,
"SA","Chile","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,10.3,,
"EU","Estonia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,3.6,,
"EU","Latvia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,8,,
"EU","Slovenia","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,6.5,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","WMN","Women","PC","Percentage","0","Units",,,7.2,,
"OC","Australia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.29,,
"EU","Austria","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.67,,
"EU","Belgium","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.19,,
"NA","Canada","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.17,,
"EU","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,1.5,,
"EU","Denmark","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.65,,
"EU","Finland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.41,,
"EU","France","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.11,,
"EU","Germany","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.41,,
"EU","Greece","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,23.78,,
"EU","Hungary","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,1.62,,
"EU","Iceland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,0.59,,
"EU","Ireland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.1,,
"EU","Italy","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,6.98,,
"AS","Japan","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.65,,
"AS","Korea","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.6,,
"EU","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.02,,
"NA","Mexico","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,6.26,,
"EU","Netherlands","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.07,,
"EU","Poland","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.92,,
"EU","Portugal","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,7.46,,
"EU","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,5.02,,
"EU","Spain","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,13.05,,
"EU","Sweden","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.15,,
"EU","Turkey","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,11.48,,
"EU","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.1,,
"NA","United States","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.35,,
"SA","Chile","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,6.64,,
"EU","Estonia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,2.43,,
"EU","Latvia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,4.59,,
"EU","Slovenia","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,3.84,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","HGH","High","PC","Percentage","0","Units",,,5,,
"OC","Australia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,11.02,,
"EU","Austria","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.31,,
"EU","Belgium","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,6.97,,
"NA","Canada","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,12.97,,
"EU","Czech Republic","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,25.14,,
"EU","Denmark","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,6.78,,
"EU","Finland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.43,,
"EU","France","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,15.09,,
"EU","Germany","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.43,,
"EU","Greece","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,32.72,,
"EU","Hungary","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.66,,
"EU","Iceland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,0.62,,
"EU","Ireland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,16.32,,
"EU","Italy","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,16.78,,
"AS","Japan","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,4.35,,
"AS","Korea","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,1.11,,
"EU","Luxembourg","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,1.59,,
"NA","Mexico","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,4.22,,
"EU","Netherlands","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.18,,
"EU","Poland","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,15,,
"EU","Portugal","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.76,,
"EU","Slovak Republic","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,72.16,,
"EU","Spain","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,36.71,,
"EU","Sweden","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,9.51,,
"EU","Turkey","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,11.22,,
"EU","United Kingdom","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,7.02,,
"NA","United States","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,17.91,,
"SA","Chile","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,8.2,,
"EU","Estonia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,8.03,,
"EU","Latvia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,23.29,,
"EU","Slovenia","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,10.55,,
"OECD","OECD - Total","JE_LMIS","Labour market insecurity","L","Value","LW","Low","PC","Percentage","0","Units",,,12.35,,
"OC","Australia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.7,,
"EU","Austria","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"EU","Belgium","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"NA","Canada","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"EU","Czech Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,,
"EU","Denmark","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"EU","Finland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"EU","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"EU","Germany","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"EU","Greece","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"EU","Hungary","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.2,,
"EU","Iceland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"EU","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"EU","Italy","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"AS","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.4,,
"AS","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.9,,
"EU","Luxembourg","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.7,,
"NA","Mexico","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.2,,
"EU","Netherlands","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"OC","New Zealand","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"EU","Norway","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"EU","Poland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"EU","Portugal","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"EU","Slovak Republic","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3,,
"EU","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.8,,
"EU","Sweden","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2,,
"EU","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.3,,
"EU","Turkey","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.5,,
"EU","United Kingdom","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"NA","United States","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,3.1,,
"SA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"SA","Chile","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"EU","Estonia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.7,,
"AS","Israel","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"EU","Latvia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.2,,
"EU","Slovenia","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.5,,
"OECD","OECD - Total","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"EU","Austria","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.9,,
"EU","Belgium","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.9,,
"NA","Canada","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.2,,
"EU","Czech Republic","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.7,,
"EU","Denmark","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"EU","Finland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"EU","France","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"EU","Germany","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.2,,
"EU","Greece","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"EU","Hungary","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.7,,
"EU","Iceland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"EU","Ireland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1,,
"EU","Italy","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.7,,
"AS","Japan","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.4,,
"AS","Korea","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.5,,
"EU","Luxembourg","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"NA","Mexico","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,25.5,,
"EU","Netherlands","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"EU","Norway","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"EU","Poland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,3,,
"EU","Portugal","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1,,
"EU","Slovak Republic","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.2,,
"EU","Spain","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"EU","Sweden","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"EU","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"EU","Turkey","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,8,,
"EU","United Kingdom","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.3,,
"NA","United States","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"SA","Brazil","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.7,,
"SA","Chile","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,9.4,,
"EU","Estonia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,7,,
